Id,Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Number_Of_Reviews,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,Image_Url,Host_id,Host_name,Host_location,Country,Country_code,Longitude,Latitude,Availability_365,Review_Scores
10006546,Ribeira Charming Duplex,House,Entire home/apt,Real Bed,2,30,moderate,8,3.0,5.0,51,80.0,200.0,35.0,15.0,6.0,https://a0.muscache.com/im/pictures/e83e702f-ef49-40fb-8fa0-6512d7e26e9b.jpg?aki_policy=large,51399391,Ana&Gonçalo,"Porto, Porto District, Portugal",Portugal,PT,-8.61308,41.1413,239,89.0
10009999,Horto flat with small garden,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1.0,2.0,0,317.0,0.0,187.0,0.0,1.0,https://a0.muscache.com/im/pictures/5b408b9e-45da-4808-be65-4edc1f29c453.jpg?aki_policy=large,1282196,Ynaie,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,BR,-43.23074991429229,-22.966253551739655,0,0.0
1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1.0,1.0,96,115.0,0.0,100.0,0.0,1.0,https://a0.muscache.com/im/pictures/15037101/5aff14a7_original.jpg?aki_policy=large,5448114,David,"Honolulu, Hawaii, United States",United States,US,-157.83919,21.28634,343,84.0
10021707,Private Room in Bushwick,Apartment,Private room,Real Bed,14,1125,flexible,1,1.0,1.0,1,40.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/72844c8c-fec2-440e-a752-bba9b268c361.jpg?aki_policy=large,11275734,Josh,"New York, New York, United States",United States,US,-73.93615,40.69791,0,100.0
10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,701.0,1000.0,250.0,0.0,1.0,https://a0.muscache.com/im/pictures/59c516bd-c7c3-4dae-8625-aff5f55ece53.jpg?aki_policy=large,51496939,Livia,BR,Brazil,BR,-43.205047082633435,-22.971950988341874,363,0.0
1003530,New York City - Upper West Side Apt,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1.0,1.0,70,135.0,0.0,135.0,0.0,1.0,https://a0.muscache.com/im/pictures/15074036/a97119ed_original.jpg?aki_policy=large,454250,Greta,"New York, New York, United States",United States,US,-73.96523,40.79962,93,94.0
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1.0,3.0,70,119.0,600.0,150.0,40.0,3.0,https://a0.muscache.com/im/pictures/159d489e-62ad-44c4-80a0-fab2a8f3b455.jpg?aki_policy=large,51530266,Ana Valéria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,BR,-43.190849194463404,-22.984339360067814,118,98.0
10047964,Charming Flat in Downtown Moda,House,Entire home/apt,Real Bed,2,1125,flexible,6,2.0,6.0,1,527.0,0.0,211.0,211.0,1.0,https://a0.muscache.com/im/pictures/231120b6-e6e5-4514-93cd-53722ac67de1.jpg?aki_policy=large,1241644,Zeynep,"Istanbul, Istanbul, Turkey",Turkey,TR,29.03133,40.98585,362,100.0
10051164,Catete's Colonial Big Hause Room B,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8,1.0,8.0,1,250.0,0.0,0.0,40.0,4.0,https://a0.muscache.com/im/pictures/b2119f25-42e1-4770-8072-20de92e65893.jpg?aki_policy=large,51326285,Beatriz,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,BR,-43.18015675229857,-22.92638234778768,296,80.0
10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,2.0,0,50.0,0.0,0.0,31.0,1.0,https://a0.muscache.com/im/pictures/9fa69ad8-c9be-45dd-966b-b8f59bdccb2b.jpg?aki_policy=large,51612949,Konstantin,"Montreal, Quebec, Canada",Canada,CA,-73.59111,45.51889,0,0.0
10057826,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,0.0,2.0,5,205.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/40ace1e3-4917-46e5-994f-30a5965f5159.jpg?aki_policy=large,47554473,Mae,US,United States,US,-73.94472,40.72778,243,88.0
10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0.0,1.0,0,43.0,0.0,0.0,12.0,1.0,https://a0.muscache.com/im/pictures/af5c069c-ef73-490a-9e47-b48c0ae47c2f.jpg?aki_policy=large,7140229,Caro,"Montreal, Quebec, Canada",Canada,CA,-73.54949,45.54548,32,0.0
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1.0,2.0,3,699.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/4533a1dc-6fd8-4167-938d-391c6eebbc19.jpg?aki_policy=large,51624384,Giovanni,"Hong Kong, Hong Kong",Hong Kong,HK,114.15027,22.28158,0,100.0
10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,3.0,3.0,0,140.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/f208bdd7-bdab-4d4d-b529-8e6b1e5a83c1.jpg?aki_policy=large,9036477,Margaux,"Montreal, Quebec, Canada",Canada,CA,-73.57383,45.52233,0,0.0
10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,5,2.0,2.0,0,858.0,4476.0,112.0,75.0,1.0,https://a0.muscache.com/im/pictures/5b1f4beb-6e06-41f0-970b-044f2f28d957.jpg?aki_policy=large,51670240,Jonathan,"Resende, Rio de Janeiro, Brazil",Brazil,BR,-43.4311123147628,-23.00035792660916,0,0.0
10082307,Double Room en-suite (307),Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,0,361.0,0.0,0.0,130.0,2.0,https://a0.muscache.com/im/pictures/8ee32fb6-2094-42ee-ae6c-ff40b479f9a7.jpg?aki_policy=large,51289938,Ken,Hong Kong,Hong Kong,HK,114.17158,22.30469,365,0.0
10082422,Nice room in Barcelona Center,Apartment,Private room,Real Bed,1,9,flexible,2,1.0,2.0,0,50.0,100.0,10.0,0.0,1.0,https://a0.muscache.com/im/pictures/aed1923a-69a6-4614-99d0-fd5c8f41ebda.jpg?aki_policy=large,30393403,Anna,"Barcelona, Catalonia, Spain",Spain,ES,2.16942,41.40082,0,0.0
10083468,Be Happy in Porto,Loft,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,1.0,178,30.0,0.0,10.0,0.0,1.0,https://a0.muscache.com/im/pictures/9420dabf-661e-4e86-b69c-84d90ceeedb5.jpg?aki_policy=large,27518920,Fábio,"São Félix da Marinha, Porto, Portugal",Portugal,PT,-8.61123,41.15225,335,97.0
10084023,City center private room with bed,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1.0,1.0,81,181.0,0.0,50.0,100.0,1.0,https://a0.muscache.com/im/pictures/e6275515-7d73-4a70-bdc4-39ba6497e7d3.jpg?aki_policy=large,51744313,Yi,United States,Hong Kong,HK,114.1669,22.3314,220,92.0
10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0.0,1.0,64,181.0,300.0,50.0,0.0,1.0,https://a0.muscache.com/im/pictures/f8eaba4e-d211-42fb-a3ca-887c0ff766f8.jpg?aki_policy=large,13764143,Ben,"New South Wales, Australia",Australia,AU,151.21554,-33.88029,0,95.0
10092679,Cozy house at Beyoğlu,Apartment,Private room,Pull-out Sofa,2,1125,flexible,2,1.0,1.0,27,58.0,0.0,0.0,60.0,1.0,https://a0.muscache.com/im/pictures/23876199-7472-48f4-b215-7c727be47fd7.jpg?aki_policy=large,21331922,Ali,İstanbul,Turkey,TR,28.95825,41.03777,37,99.0
10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1.0,1.0,1,145.0,0.0,60.0,0.0,1.0,https://a0.muscache.com/im/pictures/ceb6e8b2-d006-4f1f-b0c4-001e48de11db.jpg?aki_policy=large,34607505,Scott,"New York, New York, United States",United States,US,-74.00074,40.74577,0,100.0
10108388,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,Real Bed,2,30,moderate,2,1.0,1.0,109,185.0,800.0,120.0,0.0,1.0,https://a0.muscache.com/im/pictures/a2e7de4a-6349-4515-acd3-c788d6f2abcf.jpg?aki_policy=large,16187044,Desireé,Australia,Australia,AU,151.21346,-33.87603,265,100.0
10109896,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,1.0,0,250.0,400.0,150.0,0.0,1.0,https://a0.muscache.com/im/pictures/aca46512-3f26-432e-8114-e13fa5707217.jpg?aki_policy=large,6517277,Kristin,"Sydney, New South Wales, Australia",Australia,AU,151.17956,-33.86296,0,0.0
10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,1125,moderate,2,1.0,1.0,0,40.0,0.0,50.0,25.0,2.0,https://a0.muscache.com/im/pictures/442ad717-ecf2-4bb5-a186-17a46cfb5f5f.jpg?aki_policy=large,2649859,Elisabete,"Porto, Porto, Portugal",Portugal,PT,-8.60867,41.1543,359,0.0
10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,2.0,4.0,3,838.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/fbdaf067-9682-48a6-9838-f51589d4791a.jpg?aki_policy=large,51471538,Ahmet,"Istanbul, İstanbul, Turkey",Turkey,TR,28.98713,41.04841,365,67.0
10116256,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,6,2.0,5.0,0,997.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/79955df9-923e-44ee-bc3c-5e88041a8c53.jpg?aki_policy=large,51471538,Ahmet,"Istanbul, İstanbul, Turkey",Turkey,TR,28.98818,41.04772,365,0.0
10116578,Apartamento zona sul do RJ,Apartment,Entire home/apt,Real Bed,1,1125,flexible,5,3.0,3.0,0,933.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/96bb9ea5-a164-4fb6-a136-a21b168a72d7.jpg?aki_policy=large,51915770,Luiz Rodrigo,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Brazil,BR,-43.1825954762751,-22.930541460367934,365,0.0
10117617,A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,Real Bed,7,180,moderate,2,1.0,1.0,12,40.0,250.0,15.0,0.0,2.0,https://a0.muscache.com/im/pictures/8845f3f6-9775-4c14-9486-fe0997611bda.jpg?aki_policy=large,51920973,Manuela,"Porto, Porto District, Portugal",Portugal,PT,-8.75383,41.3596,46,96.0
10120414,The LES Apartment,Apartment,Entire home/apt,Real Bed,3,1125,flexible,3,1.0,1.0,0,150.0,200.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/0113fa69-96c5-4241-a949-854a48d8d9e0.jpg?aki_policy=large,33231070,Mert,"New York, New York, United States",United States,US,-73.98944,40.72063,0,0.0
10133350,2 bedroom Upper east side,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,5,2.0,2.0,9,275.0,0.0,35.0,0.0,1.0,https://a0.muscache.com/im/pictures/d9886a79-0633-4ab4-b03a-7686bab13d71.jpg?aki_policy=large,52004369,Chelsea,"Sea Cliff, New York, United States",United States,US,-73.95854,40.7664,0,90.0
10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1.0,2.0,29,121.0,0.0,0.0,0.0,1.0,https://a0.muscache.com/im/pictures/68de30b5-ece5-42ab-8152-c1834d5e25fd.jpg?aki_policy=large,52004703,Mehmet Emin,"Istanbul, İstanbul, Turkey",Turkey,TR,28.98009,41.0062,365,92.0
10138784,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,123,46.0,0.0,15.0,10.0,1.0,https://a0.muscache.com/im/pictures/f1c9e2c8-c619-4c97-afab-b8bf0ae9ea1d.jpg?aki_policy=large,52031360,Cheer,"New York, New York, United States",United States,US,-73.88025,40.74953,365,99.0
